songId,artistName
SVMX4ZEZS2Q,"Amanda Wilson"
bdU7qLRw824,"Kev Brown"
uvQz41KDJy0,"Bobby Cruz"
UlCWKZOq6oo,"Detroit Diesel"
jTs65zelEkQ,"Stephan Hinz"
Pdu-9PhemhI,"Black Nicc"
Pdu-9PhemhI,Halla
u6tpvxgD5ds,Z-Ro
u6tpvxgD5ds,Trae
wNgMUhsTxEI,Rigo
62Qjs9umx6M,Sia
VTZEWZdE-6M,"Snoop Dogg"
AP85L6L_ffA,Shovell
onEibk2a-LA,"Mercanti di liquore"
GYdKvN7zxFk,Rahel
w19jsCx3UwY,"Alice Gold"
vOcsU_xHmUI,Pähkinä
s-nYpzP7ZGY,Kerr
1pyukHI2LWA,Minamo
R7SQggl5Vao,"Dirty Dave"
R7SQggl5Vao,Quran
R7SQggl5Vao,"Coley Cole"
VAfng2XlA-8,Brother
0xXHHTGZnO4,"Nicky Romero"
-oKbxpgpphs,Skeme
-oKbxpgpphs,"Bad Lucc"
RIo4ktusqs8,"Tinchy Stryder"
xolDYh7BL0E,"Vika Jigulina"
AWu8Fz49hUM,"Willie Nelson"
AWu8Fz49hUM,"Charlie Daniels"
AWu8Fz49hUM,"Charlie McCoy"
NADOVwP8Xcw,"Artur Palomo"
9ZTR8gZDd-o,"Beenie Man"
zCW7VrDb5OM,"Mr. X"
5aipbGzOmGw,Apaşlar
gRMmWvaLB00,"T. Coles"
zcvrfiF2vGo,"Slick Rick"
zcvrfiF2vGo,"Masta Killa"
zcvrfiF2vGo,GZA
K6YDzfrkOEo,G3RSt
c786BBmkuNc,"Little Dragon"
KKX3Qu7Cc5k,"Patsy Todd"
EOd4OUxYw-8,"Ann Saunderson"
xxmobMzOm68,"Carole King"
oTGP5M3Z9u8,"DJ Spinn"
k84PWKEwJU8,"The Upbeats"
WT60w7adHrY,Tantu
NqISGOI0eWk,"Paul Brady"
lFnP7g6W8so,Sticks
osjIgBMyGQo,"Big Boi"
qJAYeq19oAQ,Madlib
4uIcaIyu0Qo,Praktik
SUDTK8D5XVE,KANA
SUDTK8D5XVE,mi-mi
RhbdghMorow,Zeitia
mXj2caIW8bs,"Aline Morena"
G0x72MpjUNU,Graciellita
SKedIvSuPjw,"Willie Taylor"
psQAixXdzjY,Hazhe
z9cyNQc12WI,Manero
P-9nMimalyU,Ab-Liva
Qpr5AY26DNQ,"The Love Fellowship Crusade Choir"
-vOZn-ybiCc,"Anthony Hamilton"
N-NLkg4aiVg,"Jocelyn Brown"
s-pJXs47_6g,"Miami Sound Machine"
UEcwj1yNuiM,"Andy Moor"
UEcwj1yNuiM,Whiteroom
9DsuzkAe8X0,"Tomáš Klus"
b6TSrmQcBqY,Outerspace
CGpL0yQEXpM,"J Majik & Wickaman"
oZZ2Mxpb-6U,"The Opposites"
VqHmi4KuMCU,"France Gall"
9Rw3cgQ65zs,"808 State"
fct3kdKoDcs,"Asuka M."
fuzuWlUeMwo,"Tony Iommi"
5HB-4mPo21M,Lloyd
rX8MND_zkTg,Synthesia
mcrhNZAJHos,"Ilkka Vainio"
y7Y8tEQYIgg,Mo
gpiJuYDd6Ds,Кино
eN-RSxu_iBU,Paradox
z5uNYrpRyI4,"Lisa Hunt"
44UIOYGFtVY,"Ricky Ranking"
PJTS9Y60sb8,Nongenetic
IP9vLVTI-ek,"Erk tha Jerk"
Wqzd_4F8JFc,"Jimmy Bryant"
G_rIYltEa5E,"Love and Theft"
H4mUwSYgZ2g,"Silkk the Shocker"
MseKpNUOIvM,劉德華
dmaJeUZRMAk,Bisca
dmaJeUZRMAk,Almamegretta
tmakpQdUdVA,"Andy George"
TDq-jRJCNcE,Kramer
eLnzYP5LnS0,"Dimitri Nakov"
ScArkBG_yAE,Sido
lVIZWqTi-gM,Skitzofrenix
IwBUNQB4wVY,Savannah
ydS-Cqi9UdQ,Wray
ypTYE6FY1e8,J‐Live
Q1p_zB4fuuQ,"Tim Reynolds"
D4_MngRZo4E,"Filthee Immigrants"
ferVNcB8PC4,Richy
g1pCk8E0L8I,"Tray Dee"
uHjO2tunW5Q,"Ghostface Killah"
ZxMtgdl6Acs,Toga
EEmtDg3_zk0,"Ann One"
GNo-G36WjnE,"Martin Müürsepp"
WPuBsyDjz34,"Jun Miyake"
qdzvC0XxoMY,"Christina Rosenvinge"
dP_1XpVddQw,Zro
dP_1XpVddQw,"Slim Thug"
qyUO8s5fnpU,"Lori Glori"
5iVU0vb1gfU,Gastam
P6IPxhHz4ew,"Moritz von Oswald"
57FZa0jsYQA,Strato-Vani
FVZMsUIjY2Q,"Ricky Nelson"
FVZMsUIjY2Q,"Walter Brennan"
0tVVbh250XQ,Apparat
cNc7laXqRKg,"Mark Curry"
cNc7laXqRKg,"Snoop Dogg"
cNc7laXqRKg,"Busta Rhymes"
C7On6s5sKmA,Cassie
C7On6s5sKmA,Fabolous
LLJQAjEK9ps,"DJ Mad Dog"
YbYkt_YPGHI,"King Syze"
65rxkBk0XAo,Clarity
brz8OhBsnLU,Eligh
ctV6LZnMVdg,"Fine Taste"
FCTFHQ2fRIo,Hugo
ZJmHvI9Q5Ps,Clokx
OJ8GLYNqhro,Gemitaiz
p6TrQzNTrRA,Styles
3nuVJH40lcE,xaBBu
kmOuh499c3M,Suizo
CLUjxEqgcD0,"In Panic"
hnqfFlREsCc,"Duke Garwood"
xVZNRdJ7P7k,"Lucca Perotti"
0x_3aiYrYwE,SOL
6sHDOPhUB_c,"Jagged Edge"
Umg5DqrjrFY,"Dino 7 Cordas"
HN4IGxPXJdE,"Ferris MC"
UG24G3aZ2PQ,"MC Rony"
cRP9jbfx4RY,"Sadat X"
YL2Ue-pRkxg,"Holly Vincent"
UPKYulJ0Sck,"Faith Hill"
SOHMdUlzxcs,Trunks
A4TIklotD_c,"Jean-Pierre Rampal"
9PhlvZooVK4,Liquid
29d5ATUk1oU,"Steve Winwood"
y4jM9AkfP8o,"Myles Kennedy"
gMy5lm3Q4I4,"ICE MC"
V0thP3Dbro0,"The Disciples"
nV61j2Fh5kQ,"Barry Hampton"
TBmG3Z_iDIM,"Sofia Rubina"
Pl9WNDW6X-M,"Buddy DeFranco"
A7sk38J9x_I,"Oliver Knight"
dcOtnBZn8hI,"Phil Coulter"
TxaaFvoyxKI,Youdon
cn9PTzcB3V4,Lights
hfIIBpF3K-E,M.A.E.
_3GWsLNphnQ,"Patsy Todd"
8H-wpeWGGD8,"Willy Wesly"
6dVqPFfeVwE,Koku
vd8Ymkl4TBY,Kopson
C0CRaFo0SZA,"Ricardo ""RikRok"" Ducent"
DBWj3JZbmQk,"Willem van Hanegem"
hA-Xn1qBsBI,Tejah
QQ6KBe3Im3w,Seagram
QQ6KBe3Im3w,"Gangsta P"
oZGbG-jNG3k,"Benjamin Gibbard"
e8wIm7O5rTs,"The Dakotas"
7Uv9l-lSSrs,Steward
P38JfibHLsM,"Natalia Clavier"
tcjk0YA3q6k,"Robert Owens"
_JasbEAfqbM,"Ken Darby"
IVkqlA88zEc,"Jacob Karlzon"
dgLv3YsNjuQ,Бумбокс
V4zthYc7mPY,"Sick Jacken"
Wse1vljryBE,"Marcello V.O.R"
gSir05KwGw0,"Trondheim Jazz Orchestra"
km3g2xyW-gc,"Valentino Khan"
oJFXwj_hTfo,"Lil' O"
oJFXwj_hTfo,Hawk
yCN9ULRNvnU,"DC Breaks"
yCN9ULRNvnU,"Dee Freer"
P9XV0jtQX0Q,"Glenn Lewis"
ynZ3WkoHgig,"Jerzy Wasowski"
DUnQoECt7gk,"Problem Child"
ZdHl10mDwG0,"Ming Xia"
o2qjdgqBf1A,"Jay Sean"
KlPIDhKbV4Q,Obenewa
asoNZC1AY9c,Sk8
MKOT6teSarY,"R Kelly"
OPnSHqcDdcE,"Brother Culture"
pk1Pu3e_4so,"Alberto Baldan"
8Jw0j8Qp7Lo,"Gym Class Heroes"
Q-vevvw0YCY,"Francesco De Gregori"
KvxCIoiKV9c,"Jessie Jones"
s8prC9_8vm4,Fler
w5MZn3IIKow,"David Pe"
w5MZn3IIKow,"DJ Emilio"
eJzrTH5woMI,"Wiz Khalifa"
ziW27jyMYTg,"Robert Gordon"
R0QyO5ZPw2E,J-Son
DhvfPdR6Cnw,"Lucy Randell"
rv63su5kJUY,Cham
rv63su5kJUY,"Alicia Keys"
0mR3ZUB_Nx8,"Bing Crosby"
0mR3ZUB_Nx8,"Dean Martin"
hqnv_yXYWNI,"The Game"
hqnv_yXYWNI,Daz
hqnv_yXYWNI,T-Pain
sb736rGDBKo,"Evil Activities"
LzJkiu1rwno,"DJ Florian"
FaMY0gNyoIs,Flame
FaMY0gNyoIs,FEDEL
css3LKdIrs0,INXS
UR-CgsJzdJ4,Mindscape
UR-CgsJzdJ4,Axiom
PiVS8smTcLQ,2Pac
PiVS8smTcLQ,Eminem
mVT5tgcWbXo,"Richard Gomez"
129ieQVck7Q,"Leonardo de Lozanne"
